구분,모델,홀드아웃,CV_평균,CV_표준편차,차이_홀드아웃_CV평균,최소,최대,폭,평균,표준편차,설정,학습_점수,테스트_점수,학습_테스트_격차,학습표본수,학습점수,검증점수,격차
모델비교,Dummy,0.8333,0.8453,0.0002,-0.0119,,,,,,,,,,,,,
모델비교,Tree(기본),0.8536,0.8537,0.0017,-0.0001,,,,,,,,,,,,,
모델비교,Tree(depth=5),0.8804,0.8913,0.004,-0.0109,,,,,,,,,,,,,
모델비교,RandomForest,0.8873,0.8941,0.0061,-0.0068,,,,,,,,,,,,,
모델비교,XGBoost,0.8856,0.8897,0.0041,-0.0041,,,,,,,,,,,,,
분할운,Tree(depth=5),,,,,0.8848,0.8986,0.0138,0.8918,0.0037,,,,,,,,
분할운,RandomForest,,,,,0.8917,0.9059,0.0142,0.8963,0.0041,,,,,,,,
손잡이훑기_트리,,,0.8867,0.0077,,,,,,,max_depth=2,,,,,,,
손잡이훑기_트리,,,0.8879,0.003,,,,,,,max_depth=3,,,,,,,
손잡이훑기_트리,,,0.8913,0.004,,,,,,,max_depth=5,,,,,,,
손잡이훑기_트리,,,0.8874,0.0026,,,,,,,max_depth=8,,,,,,,
손잡이훑기_트리,,,0.8773,0.0023,,,,,,,max_depth=12,,,,,,,
손잡이훑기_트리,,,0.8537,0.0017,,,,,,,max_depth=None,,,,,,,
손잡이훑기_RF,,,0.8928,,,,,,,,min_samples_leaf=1,0.9998,0.8946,0.1052,,,,
손잡이훑기_RF,,,0.8957,,,,,,,,min_samples_leaf=5,0.9516,0.8942,0.0575,,,,
손잡이훑기_RF,,,0.8972,,,,,,,,min_samples_leaf=20,0.9177,0.8925,0.0251,,,,
손잡이훑기_RF,,,0.8979,,,,,,,,min_samples_leaf=50,0.9066,0.8925,0.0141,,,,
학습곡선_RF,,,,,,,,,,,,,,,986.0,1.0,0.8937,0.1063
학습곡선_RF,,,,,,,,,,,,,,,2761.0,1.0,0.8952,0.1048
학습곡선_RF,,,,,,,,,,,,,,,4537.0,1.0,0.8956,0.1044
학습곡선_RF,,,,,,,,,,,,,,,6312.0,0.9997,0.8955,0.1043
학습곡선_RF,,,,,,,,,,,,,,,8088.0,0.9997,0.8941,0.1056
학습곡선_RF,,,,,,,,,,,,,,,9864.0,0.9997,0.8941,0.1056
